칵테일,술,재료(과일),재료(음료),재료(허브),기타,비고,도수,레시피
카미카제,"보드카, 트리플섹",라임,,,,,,"1. 쉐이커 보드카 45, 트리플섹 15, 라임반개 착즙 쉐이킹
2. 칵테일잔, 라임슬라이스"
카이피로스카,보드카,라임,,,설탕시럽,,,"1. 라임1개 8등분, 흰색 심지 제거
2. 온더락잔 라임, 설탕 2tsp, 빻기, 보드카 60, 간얼음"
카이피리냐,카샤사,라임,,,설탕,,,"1. 라임1개 8등분, 흰색 심지 제거
2. 온더락잔 라임, 설탕시럽 30, 빻기, 카샤사 60, 간얼음"
카이피리시마,화이트 럼,라임,,,설탕,,,"1. 라임1개 8등분, 흰색 심지 제거
2. 온더락잔 라임, 설탕시럽 15, 빻기, 럼 60, 간얼음"
칸찬차라,화이트 럼,라임,,,꿀,,24%,"1. 쉐이커 허니시럽 20, 라임반개착즙, 얼음, 쿠바럼 60 쉐이킹
2. 온더락잔에 얼음까지"
코스모폴리탄,"보드카, 코인트로",라임,크렌베리주스,,,칵테일을 잘 모른다면 추천,15%,"1. 보드카 30, 코인트로 15, 크렌베리주스 45, 라임반개 착즙, 얼음, 쉐이킹
2. 칵테일잔, 라임슬라이스 데코"
쿠바리브레,화이트 럼,,펩시라임,,,,,"1. 롱드링크잔 제로라임펩시:바카디 3:1, 라임 1/8조각"
화이트러시안,"보드카, 깔루아",,우유,,,,,"1. 온더락잔 보드카 60, 깔루아 30
2. 다른컵 우유 60 거품기로 거품
3. 블랙러시안에 천천히"
화이트레이디,"진, 코인트로",레몬,,,,,,"1. 쉐이커 드라이진 40, 코인트로(트리플섹) 20, 레몬 착즙 20 얼음 쉐이킹
2. 칵테일잔"
B-52,"깔루아, 베일리스, 코인트로, 화이트 럼",,,,,,,"1. 샷잔에 깔루아, 베일리스, 코인트로, 럼을 순서대로 층지게 따른다
2. 럼에 불쇼"
XYZ,"화이트 럼, 코인트로",레몬,,,,,,"1. 쉐이커 화이트럼 45ml, 코인트로 22.5ml, 레몬 반개 착즙 쉐이킹
2. 칵테일잔"
